id,name
0,Approaching something with your camera
1,Attaching something to something
2,Bending something until it breaks
3,Digging something out of something
4,Dropping something in front of something
5,Dropping something into something
6,Dropping something next to something
7,Failing to put something into something because something does not fit
8,Folding something
9,Holding something behind something
10,Holding something next to something
11,"Letting something roll up a slanted surface, so it rolls back down"
12,Lifting up one end of something without letting it drop down
13,"Lifting up one end of something, then letting it drop down"
14,Moving away from something with your camera
15,Moving something and something away from each other
16,Moving something and something closer to each other
17,Moving something and something so they pass each other
18,Moving something away from the camera
19,Moving something towards the camera
20,Opening something
21,Picking something up
22,Poking a stack of something so the stack collapses
23,Poking something so it slightly moves
24,Poking something so lightly that it doesn't or almost doesn't move
25,Poking something so that it falls over
26,Pretending or failing to wipe something off of something
27,Pretending or trying and failing to twist something
28,Pretending to be tearing something that is not tearable
29,Pretending to close something without actually closing it
30,Pretending to open something without actually opening it
31,Pretending to pick something up
32,"Pretending to pour something out of something, but something is empty"
33,Pretending to put something behind something
34,Pretending to put something into something
35,Pretending to put something on a surface
36,Pretending to put something onto something
37,Pretending to scoop something up with something
38,Pretending to spread air onto something
39,Pretending to take something out of something
40,Pretending to turn something upside down
41,Pulling something from right to left
42,Pulling something out of something
43,Pulling two ends of something but nothing happens
44,Pulling two ends of something so that it gets stretched
45,Pulling two ends of something so that it separates into two pieces
46,Pushing something from left to right
47,Pushing something onto something
48,Pushing something so it spins
49,Pushing something so that it almost falls off but doesn't
50,Pushing something so that it slightly moves
51,Pushing something with something
52,Putting something on a surface
53,Putting something onto something else that cannot support it so it falls down
54,"Putting something that can't roll onto a slanted surface, so it stays where it is"
55,Showing a photo of something to the camera
56,Showing something behind something
57,Showing something next to something
58,Showing something to the camera
59,Something being deflected from something
60,Something colliding with something and both are being deflected
61,Something colliding with something and both come to a halt
62,Something falling like a feather or paper
63,Something falling like a rock
64,Spilling something next to something
65,Spilling something onto something
66,Spinning something that quickly stops spinning
67,Spreading something onto something
68,Sprinkling something onto something
69,Stacking number of something
70,Stuffing something into something
71,Taking something from somewhere
72,Tearing something just a little bit
73,Throwing something
74,Throwing something in the air and catching it
75,Throwing something in the air and letting it fall
76,Throwing something onto a surface
77,Tilting something with something on it slightly so it doesn't fall down
78,Tilting something with something on it until it falls off
79,Touching (without moving) part of something
80,Trying but failing to attach something to something because it doesn't stick
81,Trying to bend something unbendable so nothing happens
82,"Trying to pour something into something, but missing so it spills next to it"
83,Turning the camera right while filming something
84,Twisting something
85,Uncovering something
86,Unfolding something
